2.95	4.25 2.98258836136221 0.75 0.478713553878169 4335 0 0 2 0 1 0
2.95	4.25 2.98258836136221 1 0.408248290463863 2842.9 932.046047682195 2084.1183207774 3 0 0.6 0
2.95	4.25 2.98258836136221 1 0.408248290463863 4685.16666666667 526.833333333333 912.502100454204 3 2 1 0.666666666666667
2.95	4.25 2.98258836136221 1 0.408248290463863 4496.66666666667 472.833333333333 818.971356845484 3 0 1 0
2.95	4.25 2.98258836136221 1 0.408248290463863 2924.8 997.370249706697 2230.18767708012 3 2 0.6 0.4
2.95	4.25 2.98258836136221 1 0.408248290463863 4596.5 457.5 792.413244462761 3 2 1 0.666666666666667
2.95	4.25 2.98258836136221 1 0.408248290463863 4342.16666666667 701.833333333333 1215.61099177876 3 2 1 0.666666666666667
2.95	4.25 2.98258836136221 1 0.408248290463863 2926.8 990.941844913212 2215.813326975 3 2 0.6 0.4
2.95	4.25 2.98258836136221 1 0.408248290463863 3951.33333333333 204.666666666667 354.49306528243 3 0 1 0
2.95	4.25 2.98258836136221 1.25 0.478713553878169 3181 1074.86010717674 2149.72021435349 3 0 0.75 0
2.95	4.25 2.98258836136221 1 0.408248290463863 4126.33333333333 256.166666666667 443.693681872227 3 0 1 0
2.95	4.25 2.98258836136221 1 0.408248290463863 4503.83333333333 723.666666666667 1253.42743441068 3 2 1 0.666666666666667
2.95	4.25 2.98258836136221 1 0.408248290463863 2735.2 931.063593424209 2081.92148627176 3 0 0.6 0
2.95	4.25 2.98258836136221 1 0.408248290463863 4270 604 1046.1586877716 3 0 1 0
2.95	4.25 2.98258836136221 1 0.408248290463863 3984.66666666667 632.833333333333 1096.0994860565 3 0 1 0
2.95	4.25 2.98258836136221 1 0.408248290463863 3800 360.5 624.40431612858 3 0 1 0
2.95	4.25 2.98258836136221 1 0.408248290463863 4384.5 593.5 1027.97215429213 3 0 1 0
2.95	4.25 2.98258836136221 1 0.408248290463863 3980.66666666667 506.833333333333 877.861084302826 3 0 1 0
2.95	4.25 2.98258836136221 1 0.408248290463863 4606.83333333333 457.666666666667 792.701919597356 3 2 1 0.666666666666667
2.95	4.25 2.98258836136221 1 0.408248290463863 4445.83333333333 574.166666666667 994.48583867913 3 2 1 0.666666666666667
4.45	4.25 2.98258836136221 1.25 0.478713553878169 2477.25 910.714835994232 2230.78664936833 3 0 0.5 0
4.45	4.25 2.98258836136221 1 0.408248290463863 4352.83333333333 534.666666666667 926.06983178016 3 0 1 0
4.45	4.25 2.98258836136221 1 0.408248290463863 2879.2 962.662617431465 2152.57905197463 3 0 0.6 0
4.45	4.25 2.98258836136221 1.25 0.478713553878169 3657.125 1141.44941439601 2282.89882879203 3 2 0.75 0.5
4.45	4.25 2.98258836136221 1 0.408248290463863 3037.5 987.566288914319 2208.26535429961 3 2 0.6 0.4
4.45	4.25 2.98258836136221 1 0.408248290463863 4110.83333333333 444.666666666667 770.185259098961 3 0 1 0
4.45	4.25 2.98258836136221 1 0.408248290463863 4043.16666666667 717.333333333333 1242.45777929607 3 0 1 0
4.45	4.25 2.98258836136221 1 0.408248290463863 2842.8 968.424966117665 2165.46405534703 3 0 0.6 0
4.45	4.25 2.98258836136221 1 0.408248290463863 4561.66666666667 620.333333333333 1074.44885096189 3 2 1 0.666666666666667
4.45	4.25 2.98258836136221 1 0.408248290463863 2934.2 966.357860732762 2160.84186718973 3 0 0.6 0
4.45	4.25 2.98258836136221 1 0.408248290463863 2916.2 1005.47662329862 2248.31407948267 3 2 0.6 0.4
4.45	4.25 2.98258836136221 1 0.408248290463863 2853.7 993.450396345988 2221.42261850374 3 0 0.6 0
